date,url,content,reply,retweet,like,view
2022-01-19 23:22:56+00:00,https://twitter.com/Twitter/status/1483943083242889217,@ScottieBeam ISSUES.,1,1,37,
2022-01-19 23:22:32+00:00,https://twitter.com/Twitter/status/1483942985557495812,@sipz11 YES. SET THOSE INTENTIONS,4,2,13,
2022-01-19 23:22:08+00:00,https://twitter.com/Twitter/status/1483942884353232897,@Yolophonik BRING THE BEAT IN,2,1,8,
2022-01-19 23:21:43+00:00,https://twitter.com/Twitter/status/1483942779902382090,@Willowbaker04 wembley here you come,3,1,10,
2022-01-19 23:21:13+00:00,https://twitter.com/Twitter/status/1483942654513750018,@IbeBellah CLAIM IT ✨,5,2,14,
2022-01-19 23:20:50+00:00,https://twitter.com/Twitter/status/1483942557826568201,"@DestinyDreadful don't be shy, tell us which one",2,1,5,
2022-01-19 23:20:24+00:00,https://twitter.com/Twitter/status/1483942448732774402,"@deepsoap alphabetical, just for fun",2,1,5,
2022-01-19 23:19:58+00:00,https://twitter.com/Twitter/status/1483942339362054145,"@miss_deu08 take it from Niall Horan, things have a way of wrking out",6,196,1197,
2022-01-19 23:19:19+00:00,https://twitter.com/Twitter/status/1483942176958652416,@kafui_komla the bar is high and you're gonna pass it,3,7,85,
2022-01-18 16:44:15+00:00,https://twitter.com/Twitter/status/1483480366103027714,"@NiallOfficial hello lover, we do 👀",104,456,5699,
2022-01-18 13:15:10+00:00,https://twitter.com/Twitter/status/1483427748500717573,https://t.co/4FoQ6qbQWn,2025,4227,26691,
2022-01-18 13:15:06+00:00,https://twitter.com/Twitter/status/1483427731400536065,"📍 Los Angeles, CA https://t.co/oquJcqUzkR",874,14250,93690,
2022-01-18 13:15:03+00:00,https://twitter.com/Twitter/status/1483427720373719046,"📍 Los Angeles, CA https://t.co/PwK7CnaUuh",89,925,13164,
2022-01-18 13:15:02+00:00,https://twitter.com/Twitter/status/1483427713075625986,"📍 Chicago, IL https://t.co/E2uj4qkIW3",98,1079,13488,
2022-01-18 13:15:00+00:00,https://twitter.com/Twitter/status/1483427707614642180,"📍 Toronto, ON https://t.co/5hdKHKBDHS",106,768,13364,
2022-01-18 13:14:59+00:00,https://twitter.com/Twitter/status/1483427703118249985,"📍 San Francisco, CA https://t.co/mE4cB9jMs6",87,1346,17563,
2022-01-18 13:14:58+00:00,https://twitter.com/Twitter/status/1483427697556664321,"📍 Chicago, IL https://t.co/nWlMYsY1S7",115,2241,24811,
2022-01-18 13:14:56+00:00,https://twitter.com/Twitter/status/1483427691198095360,"📍 Chicago, IL https://t.co/kdu4yVc4Zj",154,2942,26490,
2022-01-18 13:14:55+00:00,https://twitter.com/Twitter/status/1483427684894052358,"📍 New York, NY https://t.co/JfpDxk3Bwa",69,1202,18072,
2022-01-18 13:14:54+00:00,https://twitter.com/Twitter/status/1483427679026229248,"📍 Toronto, ON https://t.co/ztK1awKR9O",112,4178,30351,
2022-01-18 13:14:52+00:00,https://twitter.com/Twitter/status/1483427671078060034,"📍 Hollywood, CA https://t.co/fe4eWzIulj",116,3003,34514,
2022-01-18 13:14:50+00:00,https://twitter.com/Twitter/status/1483427664518164485,"if you can dream it, Tweet it

📍 New York, NY https://t.co/dLx1wCnlRY",8167,77383,795136,
2022-01-14 18:30:54+00:00,https://twitter.com/Twitter/status/1482057651886383107,@Arkunir oui,282,1512,35540,
2022-01-13 17:08:13+00:00,https://twitter.com/Twitter/status/1481674458586927105,"2 Retweets, that's a hit",4109,15834,88503,
2022-01-10 21:06:58+00:00,https://twitter.com/Twitter/status/1480647378302648327,@Arkunir !,240,121,6880,
2022-01-10 16:07:21+00:00,https://twitter.com/Twitter/status/1480571976414543875,may your Tweets prosper and you never be ratioed,3695,10255,120467,
2022-01-01 22:00:56+00:00,https://twitter.com/Twitter/status/1477399469448695808,@PAVGOD captured our vibe exactly,18,4,811,
2022-01-01 22:00:54+00:00,https://twitter.com/Twitter/status/1477399460774924293,@EpikNFT why not both,14,13,918,
2022-01-01 22:00:52+00:00,https://twitter.com/Twitter/status/1477399452830912516,@laswagna you know what? same to you,24,35,2596,
2022-01-01 21:45:08+00:00,https://twitter.com/Twitter/status/1477395490220220419,let's just see how this one goes,4207,19476,189757,
2021-12-31 16:02:48+00:00,https://twitter.com/Twitter/status/1476946953518948358,that’s a wrap on another totally normal year,2476,13800,95770,
2021-12-28 19:16:06+00:00,https://twitter.com/Twitter/status/1475908434474196993,@rayofwanda best plan yet,20,20,2456,
2021-12-28 19:10:08+00:00,https://twitter.com/Twitter/status/1475906931629957122,@vyazquez1 don't give us ideas,28,15,2710,
2021-12-28 19:10:06+00:00,https://twitter.com/Twitter/status/1475906923652395014,@dont_hide_MB exactly,6,4,710,
2021-12-28 18:56:48+00:00,https://twitter.com/Twitter/status/1475903577201819652,welp,2085,16576,190932,
2021-12-22 16:26:48+00:00,https://twitter.com/Twitter/status/1473691501683253257,@luvatdisco glad we’re aligned,19,7,154,
2021-12-22 16:12:00+00:00,https://twitter.com/Twitter/status/1473687778621800451,@djarinculture just taking it Tweet by Tweet bestie,7,6,207,
2021-12-22 16:09:13+00:00,https://twitter.com/Twitter/status/1473687077753655300,"@neil_sane you’re a real one, neil",15,6,168,
2021-12-22 16:01:46+00:00,https://twitter.com/Twitter/status/1473685202341928964,@krystinaiam ugh no edit button,36,30,605,
2021-12-22 15:49:22+00:00,https://twitter.com/Twitter/status/1473682079921618958,just Tweeting through it,3573,8141,66494,
2021-12-14 17:30:08+00:00,https://twitter.com/Twitter/status/1470808335087718409,@Iifesuppcrts taking it page by page,9,4,186,
2021-12-14 17:30:05+00:00,https://twitter.com/Twitter/status/1470808326304849923,@JeremiahKohn ok good luck,5,5,72,
2021-12-14 17:30:04+00:00,https://twitter.com/Twitter/status/1470808318180474892,"@SHUKR4NI a stuffed animal, but better",2,3,138,
2021-12-14 17:03:41+00:00,https://twitter.com/Twitter/status/1470801681365483520,@YoungFiorella are you judging by our cover,3,7,147,
2021-12-14 17:03:37+00:00,https://twitter.com/Twitter/status/1470801664764485654,@YourMindVoice the margins are full,2,2,23,
2021-12-14 17:03:12+00:00,https://twitter.com/Twitter/status/1470801559567151105,@erosrry_ 🥺🥺🥺,6,4,63,
2021-12-14 17:01:00+00:00,https://twitter.com/Twitter/status/1470801003503144979,@VFLBEEZY 15 years running,6,6,220,
2021-12-14 16:58:25+00:00,https://twitter.com/Twitter/status/1470800355604967429,@setinaz_gh a genre we can't get enough of,11,19,518,
2021-12-14 16:58:03+00:00,https://twitter.com/Twitter/status/1470800263200256002,@TheReal_YRJ love a bedtime story,3,3,97,
2021-12-14 16:57:17+00:00,https://twitter.com/Twitter/status/1470800069557379080,@KdbEnthusiasm ratio,32,85,2005,
2021-12-14 16:57:14+00:00,https://twitter.com/Twitter/status/1470800057243140096,@ItzJustZack fr fr.,3,4,193,
2021-12-14 16:55:58+00:00,https://twitter.com/Twitter/status/1470799737825726467,@being__anxious it changes depending on the day,10,5,216,
2021-12-14 16:55:56+00:00,https://twitter.com/Twitter/status/1470799729902907392,@MrBlackOG it's one huge collab,25,26,1277,
2021-12-14 16:55:00+00:00,https://twitter.com/Twitter/status/1470799493939740672,@AshleyLake and you'll never run out of pages,18,6,493,
2021-12-14 16:54:58+00:00,https://twitter.com/Twitter/status/1470799485886361601,@nba_paint don't forget illustrator,5,2,365,
2021-12-14 16:53:26+00:00,https://twitter.com/Twitter/status/1470799099339603969,@HilightOfficial and we have a huge appetite,17,16,639,
2021-12-14 16:49:51+00:00,https://twitter.com/Twitter/status/1470798200152158210,Twitter is a book you'll never finish,4861,13465,95072,
2021-12-09 16:54:13+00:00,https://twitter.com/Twitter/status/1468987358871703552,@chartdata one more time for good measure #BTS,255,4118,15910,
2021-12-09 16:53:23+00:00,https://twitter.com/Twitter/status/1468987148707717131,@lexmiyy !!!!!!!,163,177,1215,
2021-12-09 16:51:47+00:00,https://twitter.com/Twitter/status/1468986745962340360,@Daily_JKUpdate feels good to be next to jungkook,195,2201,6540,
2021-12-08 21:16:54+00:00,https://twitter.com/Twitter/status/1468691078475886596,"@tweetsbykeezy you really said live, laugh, lie",4,54,501,
2021-12-08 21:13:15+00:00,https://twitter.com/Twitter/status/1468690158405005318,@shru_koo why are you sorry,63,101,1795,
2021-12-08 16:19:10+00:00,https://twitter.com/Twitter/status/1468616150896586752,@itsMalikEl there's a Topic for that https://t.co/wn7nM5wBtR,14,16,136,
2021-12-06 19:53:55+00:00,https://twitter.com/Twitter/status/1467945419485372428,@KevinFarzad add to resume,7,4,131,
2021-12-06 19:53:52+00:00,https://twitter.com/Twitter/status/1467945407099637768,@thomasheadon can you do this daily,36,7,366,
2021-12-06 19:52:06+00:00,https://twitter.com/Twitter/status/1467944962310426624,"to everyone procrastinating, you've come to the right place",3356,21542,131024,
2021-12-02 16:44:48+00:00,https://twitter.com/Twitter/status/1466448276199284736,@TomMunns1 thanks for reading between the lines,7,5,1397,
2021-12-02 16:41:33+00:00,https://twitter.com/Twitter/status/1466447456770695170,@not_katarina we've perfected the pretend laugh for content we saw 4 months ago,13,112,3435,
2021-12-02 16:41:27+00:00,https://twitter.com/Twitter/status/1466447431403552771,@Ayeshahahah_ HUGE,4,3,223,
2021-12-02 16:41:24+00:00,https://twitter.com/Twitter/status/1466447418317320200,@zainloveebot same and we're not afraid to tell the world,5,13,1037,
2021-12-02 16:41:20+00:00,https://twitter.com/Twitter/status/1466447401523326981,@BoredATheTemple we have A LOT of hands,6,12,892,
2021-12-02 16:41:16+00:00,https://twitter.com/Twitter/status/1466447385282977796,@awfccatley keep Tweeting you'll get there,1,4,388,
2021-12-02 16:38:05+00:00,https://twitter.com/Twitter/status/1466446582459609091,@illegirl_panda you better give credit,7,6,741,
2021-12-02 16:38:01+00:00,https://twitter.com/Twitter/status/1466446565489491970,@Prince_ak8 wrong. we see this one,17,39,3311,
2021-12-02 16:37:59+00:00,https://twitter.com/Twitter/status/1466446557591609344,@urPapaDeyCraze yeah this reply,71,42,3832,
2021-12-02 16:37:53+00:00,https://twitter.com/Twitter/status/1466446531658141701,@Sassy_Soul_ this Tweet was for you and you only,34,19,1323,
2021-12-02 16:25:06+00:00,https://twitter.com/Twitter/status/1466443318003384325,cheers to all the Tweets that made it to IG this year,3372,11669,115518,
2021-11-22 18:09:52+00:00,https://twitter.com/Twitter/status/1462845803559542799,@Calfnr yuo'er wlceome,37,51,2501,
2021-11-22 18:08:52+00:00,https://twitter.com/Twitter/status/1462845550894669828,@shfaffler ugh,25,36,2586,
2021-11-22 18:06:38+00:00,https://twitter.com/Twitter/status/1462844990145638405,"@alluregaga2 father, son, and house of gucci",47,670,2760,
2021-11-22 18:02:30+00:00,https://twitter.com/Twitter/status/1462843947823386628,@chirpityme does this shirt come in a medium?,33,39,1996,
2021-11-22 17:59:36+00:00,https://twitter.com/Twitter/status/1462843218446503940,your typo makes it original,5911,11751,105342,
2021-11-17 17:47:34+00:00,https://twitter.com/Twitter/status/1461028252185767941,@divinesbIazed working on the lyrics,24,8,325,
2021-11-17 17:47:13+00:00,https://twitter.com/Twitter/status/1461028163761360898,@UltraThxm calling ourselves out,13,9,98,
2021-11-17 17:47:10+00:00,https://twitter.com/Twitter/status/1461028151656595461,"@miyyvibez just between us, same",17,20,466,
2021-11-17 17:41:27+00:00,https://twitter.com/Twitter/status/1461026714079973380,@shakira1367 woah our power,9,9,200,
2021-11-17 17:41:24+00:00,https://twitter.com/Twitter/status/1461026701757108232,@H06Julian some will never understand the talent they're witnessing,12,16,393,
